game_id,date,win_percentage,home_team,away_team,home_team_recent_10,away_team_recent_10,result
57,13-12-07,3.10 (27.5%) 3.20 (26.6%) 1.85 (46%),프라이부,볼프스부,3승3무4패,5승2무3패,0
58,13-12-07,1.60 (53.2%) 3.40 (25%) 3.90 (21.8%),슈투트가,하노버96,2승4무4패,2승2무6패,1
59,13-12-07,1.88 (45.2%) 3.20 (26.5%) 3.00 (28.3%),E프랑크,호펜하임,2승3무5패,2승3무5패,0
60,13-12-10,5.60 (15.2%) 3.95 (21.5%) 1.34 (63.4%),마르세유,도르트문,,,0
62,13-12-10,5.90 (14.4%) 4.00 (21.3%) 1.32 (64.4%),코펜하겐,레알마드,,,0
63,13-12-10,3.35 (25.4%) 3.10 (27.4%) 1.80 (47.2%),St갈렌,스완지,,,1
64,13-12-10,1.59 (53.4%) 3.35 (25.3%) 4.00 (21.2%),M텔아비,보르도,,,1
65,13-12-10,1.00 (33.3%) 1.00 (33.3%) 1.00 (33.3%),갈라타사,유벤투스,1.001.006승,1무3패8승,1
66,13-12-10,1.74 (48.9%) 3.25 (26.2%) 3.40 (25%),피오렌티,드니프로,,,1
67,13-12-10,2.32 (36.7%) 3.05 (27.9%) 2.40 (35.5%),비토리SC,리옹,,,0
68,13-12-11,1.51 (56.2%) 3.60 (23.6%) 4.20 (20.2%),샬케04,바젤,,,1
69,13-12-11,5.60 (15.2%) 3.95 (21.5%) 1.34 (63.4%),마르세유,도르트문,,,0
70,13-12-11,2.55 (33.3%) 3.15 (27%) 2.14 (39.7%),나폴리,아스널,,,1
71,13-12-11,1.80 (47.2%) 3.30 (25.8%) 3.15 (27%),AT마드,포르투,7승2무1패,3승4무3패,1
73,13-12-13,3.90 (21.8%) 3.25 (26.1%) 1.63 (52.1%),갱강,모나코,4승3무3패,6승2무2패,0
74,13-12-13,1.76 (48.4%) 3.15 (27%) 3.45 (24.7%),낭트,툴루즈,6승1무3패,4승3무3패,0
75,13-12-13,3.00 (28.4%) 2.90 (29.3%) 2.01 (42.3%),아작시오,로리앙,0승2무8패,5승1무4패,0
76,13-12-13,2.34 (36.3%) 2.80 (30.4%) 2.55 (33.3%),몽펠리에,생테티엔,1승4무5패,3승3무4패,0
80,13-12-13,1.63 (52.1%) 3.40 (25%) 3.70 (22.9%),볼프스부,슈투트가,6승2무2패,3승3무4패,1
